Polling Booth Number,Polling Booth Name,Winner- 2019,Margin %,Margin,Total Voters,BJP- Votes,BJP- % votes,INC- Votes,INC- % Votes,Adv. Chandrashekar Dongre,Topale Rupachand,Rahul Parasanji Tayde,Sanjay Ambadas Wankhede,Avinash Suresh Badhiye,Deepak M. Madavi,Dilip Shamraoji Potfode,Vilas Vinayakrao Kailuke,NOTA,No of Votes got by 3rd parties,BJP booth strength,INC booth strength
14,Sahur Booth Z.P. Pri. School,BJP,16.24548736,90,554,317,57.22021661,227,40.97472924,2,3,0,0,0,2,0,0,3,7,MODERATE,WEAK
15,Sahur Booth Dnyaneshwari Junior Highschool,BJP,3.024911032,17,562,283,50.35587189,266,47.33096085,5,0,0,0,0,4,0,0,4,9,MODERATE,WEAK
16,Sanvanga (purn ),BJP,4.109589041,18,438,205,46.80365297,187,42.69406393,5,5,1,3,0,28,1,1,2,44,WEAK,WEAK
17,Poragavhan,BJP,3.442028986,19,552,247,44.74637681,228,41.30434783,13,23,2,0,0,35,2,0,2,75,WEAK,WEAK
18,Panchala,BJP,23.65591398,66,279,166,59.49820789,100,35.84229391,1,4,0,1,2,3,0,0,2,11,MODERATE,WEAK
19,Delvadi Booth J P Uchch Prath Shala,INC,2.093397746,13,621,290,46.69887279,303,48.79227053,6,5,1,2,0,0,13,0,1,27,WEAK,WEAK
20,Delvadi Booth Gram panchayat Karyalay,BJP,61.79775281,220,356,286,80.33707865,66,18.53932584,1,1,0,0,0,0,1,1,0,4,STRONG,WEAK
21,Jaulavadi,BJP,23.5443038,93,395,235,59.49367089,142,35.94936709,5,5,0,1,0,6,0,0,1,17,MODERATE,WEAK
22,Antora (juna ),BJP,1.109350238,7,631,308,48.81141046,301,47.70206022,0,20,0,0,0,0,0,0,2,20,WEAK,WEAK
23,Antora (navin ),BJP,4.187817259,33,788,394,50,361,45.81218274,6,17,0,0,1,3,2,1,3,30,MODERATE,WEAK
